Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth
12471,1,Flex,>>,2916,256.35,413,341,549,47.231561188977
12487,2,Flex,>>,1142,100.4,413,335,550,47.16030213503846
12501,3,Flex,>>,124,10.9,412,340,550,47.16030213503846
12582,1,Flex,>>,2877,256.35,409,339,545,47.22161018519054
12596,2,Flex,>>,1078,100.4,408,337,543,47.38341321908571
12611,3,Flex,>>,58,10.9,407,337,544,47.38341321908571
12692,1,Flex,>>,2838,254.33,410,338,546,48.3626468141229
12706,2,Flex,>>,1014,96.7,407,336,544,48.3626468141229
12721,3,Flex,>>,-8,7.12,406,336,544,48.66648731201319
12802,1,Flex,>>,2799,251.16,410,339,546,48.84624893361635
12817,2,Flex,>>,950,91.34,406,336,542,48.84624893361635
12831,3,Flex,>>,-74,1.49,407,335,543,48.901630366795786
12912,1,Flex,>>,2760,247.82,409,339,546,48.956164206868834
12926,2,Flex,>>,886,85.8,406,336,544,48.976499846804245
12941,3,Flex,>>,-140,-4.22,405,334,542,48.976499846804245
13021,1,Flex,>>,2721,244.66,410,338,544,49.20352313978373
13036,2,Flex,>>,822,80.18,408,335,543,49.20352313978373
13050,3,Flex,>>,-206,-10.02,407,337,542,49.20352313978373
13131,1,Flex,>>,2682,241.32,408,337,544,49.35292047844813
13145,2,Flex,>>,758,74.73,407,338,544,49.35292047844813
13160,3,Flex,>>,-272,-15.74,406,336,540,49.43006717882837
13241,1,Flex,>>,2643,237.89,411,333,546,49.60359683628484
13256,2,Flex,>>,694,69.1,411,339,545,49.77658225712174
13270,3,Flex,>>,-338,-21.71,409,338,543,49.77658225712174
13351,1,Flex,>>,2604,234.55,410,332,544,50.19221571922223
13365,2,Flex,>>,630,63.74,408,334,543,50.19221571922223
13380,3,Flex,>>,-404,-27.34,409,334,538,50.19221571922223
13460,1,Flex,>>,2565,231.21,413,336,545,50.64943516255586
13475,2,Flex,>>,566,58.2,411,335,542,50.64943516255586
13490,3,Flex,>>,-470,-33.05,410,333,538,50.71124290815612
13570,1,Flex,>>,2526,227.96,416,338,545,51.19696637121021
13585,2,Flex,>>,502,52.66,412,336,541,51.47501778709076
13599,3,Flex,>>,-536,-38.86,412,335,538,51.47501778709076
13680,1,Flex,>>,2487,224.7,414,337,544,52.13424721061971
13695,2,Flex,>>,438,46.95,415,335,539,52.59816217801351
13710,3,Flex,>>,-602,-44.48,411,334,542,52.59816217801351
13791,1,Flex,>>,2448,221.45,413,337,544,53.58908108021003
13806,2,Flex,>>,374,41.49,414,335,543,53.58908108021003
13820,3,Flex,>>,-668,-50.2,412,334,540,53.90357382556262
13901,1,Flex,>>,2409,218.02,415,337,544,54.4157866774611
13916,2,Flex,>>,310,35.87,415,335,542,54.4157866774611
13930,3,Flex,>>,-734,-55.74,413,334,542,54.55963944690022
14011,1,Flex,>>,2370,214.68,419,339,546,54.91120783240963
14025,2,Flex,>>,246,30.24,415,336,543,55.09002410690325
14040,3,Flex,>>,-800,-61.54,417,333,540,55.09002410690325
14121,1,Flex,>>,2331,211.34,419,337,544,55.77121994106692
14135,2,Flex,>>,182,24.62,420,334,542,55.77121994106692
14150,3,Flex,>>,-866,-67.25,419,336,540,55.77121994106692
14230,1,Flex,>>,2292,207.82,425,338,544,56.51705058892817
14245,2,Flex,>>,118,18.99,421,334,542,56.51705058892817
14259,3,Flex,>>,-932,-73.14,420,333,540,56.774270538996724
14340,1,Flex,>>,2253,204.57,425,340,543,57.1301151469801
14355,2,Flex,>>,54,13.54,424,333,542,57.304334723576034
14369,3,Flex,>>,-998,-78.95,421,335,539,57.304334723576034
14450,1,Flex,>>,2214,201.14,453,335,543,57.566479977300475
14465,2,Flex,>>,-10,8.0,454,335,543,57.66681950904696
14479,3,Flex,>>,-1064,-84.57,456,335,543,57.66681950904696
14560,1,Flex,>>,2175,197.63,459,340,547,58.02254061213688
14574,2,Flex,>>,-74,2.37,457,337,541,58.02254061213688
14589,3,Flex,>>,-1130,-90.29,453,336,543,58.104213716846104
14669,1,Flex,>>,2136,194.29,456,339,548,58.21410783077902
14685,2,Flex,>>,-138,-3.08,455,336,545,58.30070262429983
14700,3,Flex,>>,-1196,-96.18,453,335,541,58.30070262429983
