Frame,Time(ms),ABD_signed(deg),∠ABD,∠ABD_smooth
0,34,-161.0371366669676,18.962863333032402,19.136401265897135
1,67,-160.7681234979973,19.231876502002706,19.056386447072683
2,100,-161.0371366669676,18.962863333032402,18.99027816552411
3,134,-160.91196694997907,19.088033050020925,18.938076421251417
4,167,-161.0371366669676,18.962863333032402,18.8997812142546
5,200,-161.1474738189601,18.852526181039906,18.875392544533703
6,234,-161.40796437225438,18.592035627745616,18.822482392118033
7,267,-161.1474738189601,18.852526181039906,18.865632932560974
8,300,-161.0371366669676,18.962863333032402,18.88070602773925
9,334,-161.0371366669676,18.962863333032402,18.930994546878114
10,367,-161.0371366669676,18.962863333032402,18.927757750005036
11,400,-160.91196694997907,19.088033050020925,18.9788131997499
12,434,-161.16541168226888,18.834588317731118,18.91784998610304
13,467,-161.16541168226888,18.834588317731118,18.869626477171316
14,500,-161.29860536048375,18.701394639516252,18.84497206523864
15,534,-160.91196694997907,19.088033050020925,18.829777647538997
16,567,-161.40796437225438,18.592035627745616,18.75729171081741
17,600,-161.15563054942143,18.84436945057857,18.759964758283775
18,634,-161.15563054942143,18.84436945057857,18.793114076953138
19,667,-161.2639978014342,18.736002198565814,18.78441831492363
20,700,-161.41711282847885,18.58288717152115,18.823513374893828
21,734,-160.90314912457788,19.09685087542212,18.94915465592482
22,767,-160.90314912457788,19.09685087542212,18.98931403031109
23,800,-161.13895120328408,18.86104879671592,19.08556040172482
24,834,-160.62708241505575,19.372917584944247,19.136576819938252
25,867,-160.88757296835,19.112427031649986,19.103924021527924
26,900,-161.01151637659063,18.988483623409365,19.021200138569284
27,934,-160.88757296835,19.112427031649986,18.97890901530154
28,967,-161.27201292626114,18.72798707373886,18.94010101000426
29,1000,-161.25643677003328,18.743563229966725,18.83504479809723
30,1034,-161.00492242285654,18.995077577143462,18.85431843140607
31,1067,-161.12016667956956,18.879833320430436,18.87770644849428
32,1100,-161.12016667956956,18.879833320430436,18.903741714015144
33,1134,-161.13353116547108,18.866468834528916,18.990308235478327
34,1167,-160.86840890784495,19.13159109215505,18.95785094686467
35,1200,-161.01475188510608,18.98524811489392,18.98174298908188
36,1234,-161.01475188510608,18.98524811489392,18.98347753841813
37,1267,-161.01475188510608,18.98524811489392,18.983109829254573
38,1300,-161.26639275427092,18.733607245729075,18.95465739798251
39,1334,-160.7532815536917,19.246718446308307,18.94065316845179
40,1367,-161.26639275427092,18.733607245729075,18.923830316422215
41,1400,-161.00492242285654,18.995077577143462,18.929202573975196
42,1434,-161.12580129091356,18.874198709086443,18.920154220346756
43,1467,-161.00492242285654,18.995077577143462,18.906930059010577
44,1500,-161.27201292626114,18.72798707373886,18.79578577523266
45,1534,-161.01939358366226,18.980606416337736,18.835552733405795
46,1567,-161.27201292626114,18.72798707373886,18.803417264574243
47,1600,-161.25643677003328,18.743563229966725,18.884386838011856
48,1634,-161.27201292626114,18.72798707373886,18.885203359993064
49,1667,-160.75889703399176,19.241102966008242,18.941941702010958
50,1700,-161.01939358366226,18.980606416337736,19.025126440226792
51,1734,-160.75889703399176,19.241102966008242,19.079500730771066
52,1767,-161.27201292626114,18.72798707373886,19.107704163830416
53,1800,-160.75889703399176,19.241102966008242,19.01644232406334
54,1834,-160.75889703399176,19.241102966008242,18.9894810158361
55,1867,-161.27201292626114,18.72798707373886,19.018162318072648
56,1900,-161.00492242285654,18.995077577143462,19.012975208349346
57,1934,-161.25643677003328,18.743563229966725,19.084819467512173
58,1967,-160.4927850040212,19.507214995978813,18.99783600607349
59,2000,-161.01939358366226,18.980606416337736,18.98516355615397
60,2034,-161.00492242285654,18.995077577143462,19.005531618808803
61,2067,-161.00492242285654,18.995077577143462,18.937042076409355
62,2100,-161.41152397237954,18.58847602762046,18.943474042986278
63,2134,-161.00492242285654,18.995077577143462,18.91659657477256
64,2167,-161.01939358366226,18.980606416337736,18.964872627995412
65,2200,-161.00492242285654,18.995077577143462,18.9564598034014
66,2234,-160.744425873186,19.255574126813997,19.02983373478873
67,2267,-160.99594022036277,19.00405977963723,19.056894713723004
68,2300,-161.24731845529683,18.752681544703165,19.02604437405007
69,2334,-160.99594022036277,19.00405977963723,18.979933597243203
70,2367,-160.744425873186,19.255574126813997,18.93805010015919
71,2400,-161.27201292626114,18.72798707373886,18.899640131539826
72,2434,-161.01939358366226,18.980606416337736,18.901734061253038
73,2467,-161.26639275427092,18.733607245729075,18.96685549005724
74,2500,-161.00492242285654,18.995077577143462,18.93918099641615
75,2534,-161.01939358366226,18.980606416337736,18.952591858305176
76,2567,-160.99594022036277,19.00405977963723,18.991248176100093
77,2600,-160.73642273166888,19.26357726833112,18.978790863559496
78,2634,-161.24731845529683,18.752681544703165,19.004117576879413
79,2667,-160.99594022036277,19.00405977963723,18.969456885965585
80,2700,-161.13895120328408,18.86104879671592,18.98965782243277
81,2734,-160.88757296835,19.112427031649986,19.074159623957783
82,2767,-160.88757296835,19.112427031649986,19.10141399089806
83,2800,-160.88757296835,19.112427031649986,19.19938443680261
84,2834,-160.63605862117328,19.363941378826723,19.149025317791732
85,2867,-160.63605862117328,19.363941378826723,19.16220674242963
86,2900,-161.14905524740743,18.850944752592568,19.131620799255504
87,2934,-160.88757296835,19.112427031649986,19.095625334228494
88,2967,-161.14905524740743,18.850944752592568,19.101720492248482
89,3000,-160.63605862117328,19.363941378826723,19.105648500540116
90,3034,-160.88757296835,19.112427031649986,19.16279428007921
91,3067,-160.88757296835,19.112427031649986,19.1782402118348
92,3100,-160.63605862117328,19.363941378826723,19.107773227734057
93,3134,-160.88757296835,19.112427031649986,19.134350166503843
94,3167,-160.99594022036277,19.00405977963723,19.088158340036255
95,3200,-161.2639978014342,18.736002198565814,19.023375203023743
96,3234,-160.88757296835,19.112427031649986,19.0009131464874
97,3267,-160.63605862117328,19.363941378826723,19.037726646897593
98,3300,-161.14905524740743,18.850944752592568,19.02716627936897
99,3334,-161.27201292626114,18.72798707373886,19.00193900997809
100,3367,-160.63605862117328,19.363941378826723,19.039902919131176
101,3400,-160.90314912457788,19.09685087542212,18.97050713659909
102,3434,-161.5244943511047,18.475505648895307,18.84871792915752
103,3467,-161.01151637659063,18.988483623409365,18.853345831722066
104,3500,-160.88757296835,19.112427031649986,18.81095930439168
105,3534,-161.5244943511047,18.475505648895307,18.73852508322403
106,3567,-161.5244943511047,18.475505648895307,18.778394546804645
107,3600,-160.88757296835,19.112427031649986,18.820961578863027
108,3634,-161.14905524740743,18.850944752592568,18.788539821061363
109,3667,-161.14905524740743,18.850944752592568,18.841667836196887
110,3700,-161.14905524740743,18.850944752592568,18.92607894637175
111,3734,-161.14905524740743,18.850944752592568,18.928331806129997
112,3767,-161.01151637659063,18.988483623409365,18.901458558556556
113,3800,-161.01151637659063,18.988483623409365,18.931095609711967
114,3834,-161.14905524740743,18.850944752592568,18.939086019104703
115,3867,-161.01151637659063,18.988483623409365,18.947107273896435
116,3900,-161.01151637659063,18.988483623409365,18.95159025923764
117,3934,-161.14905524740743,18.850944752592568,18.939872104865138
118,3967,-161.01151637659063,18.988483623409365,18.967113313015222
119,4000,-160.99594022036277,19.00405977963723,18.999729176879875
120,4034,-160.99594022036277,19.00405977963723,19.015934582939057
121,4067,-160.99594022036277,19.00405977963723,19.008084334143273
122,4100,-160.88757296835,19.112427031649986,19.05810748515659
123,4134,-160.99594022036277,19.00405977963723,18.99406895098194
124,4167,-161.01151637659063,18.988483623409365,18.95937880289295
125,4200,-161.13895120328408,18.86104879671592,18.96400490392587
126,4234,-160.88757296835,19.112427031649986,18.94595726588734
127,4267,-161.40043348234153,18.599566517658474,18.943324430857416
128,4300,-160.88757296835,19.112427031649986,18.9343006740707
129,4334,-160.88757296835,19.112427031649986,18.940127903157446
130,4367,-161.13895120328408,18.86104879671592,18.96406979722161
131,4400,-161.01151637659063,18.988483623409365,18.998607369713824
132,4434,-161.13895120328408,18.86104879671592,19.05443445224472
133,4467,-160.88757296835,19.112427031649986,19.00752740639586
134,4500,-160.88757296835,19.112427031649986,19.003616913953596
135,4534,-160.88757296835,19.112427031649986,19.005525361504514
136,4567,-161.13895120328408,18.86104879671592,18.96578972566946
137,4600,-161.13895120328408,18.86104879671592,18.911441636353103
138,4634,-161.13895120328408,18.86104879671592,18.855189164200027
139,4667,-161.13895120328408,18.86104879671592,18.855189164200027
140,4700,-161.13895120328408,18.86104879671592,18.890346959295698
141,4734,-161.13895120328408,18.86104879671592,18.960662549487047
142,4767,-160.88757296835,19.112427031649986,19.012813278878962
143,4800,-160.88757296835,19.112427031649986,19.062034192012906
144,4834,-160.88757296835,19.112427031649986,19.10246565637293
145,4867,-160.88757296835,19.112427031649986,19.128248039443093
146,4900,-160.88757296835,19.112427031649986,19.133521708707445
147,4934,-160.88757296835,19.112427031649986,19.11242703165004
148,4967,-160.88757296835,19.112427031649986,19.122827877096803
149,5000,-160.88757296835,19.112427031649986,19.141414918169538
150,5034,-160.88757296835,19.112427031649986,19.123405960625995
151,5067,-160.88757296835,19.112427031649986,19.067082055276057
152,5100,-160.88757296835,19.112427031649986,18.983733193549504
153,5134,-161.01151637659063,18.988483623409365,18.947776708398834
154,5167,-161.2639978014342,18.736002198565814,18.911749576444898
155,5200,-161.2639978014342,18.736002198565814,18.881511430203638
156,5234,-161.13895120328408,18.86104879671592,18.862921902191
157,5267,-160.88757296835,19.112427031649986,18.861840624922927
158,5300,-161.13895120328408,18.86104879671592,18.8714432949701
159,5334,-161.13895120328408,18.86104879671592,18.912521310680155
160,5367,-161.13895120328408,18.86104879671592,18.91282718898747
161,5400,-161.13895120328408,18.86104879671592,18.89203300861889
162,5434,-161.13895120328408,18.86104879671592,18.848105376787597
163,5467,-160.98780096660295,19.012199033397053,18.895969272121533
164,5500,-161.13895120328408,18.86104879671592,18.913744338289018
165,5534,-161.13895120328408,18.86104879671592,18.92252525234747
166,5567,-161.15563054942143,18.84436945057857,18.922312014296875
167,5600,-160.88757296835,19.112427031649986,18.91450428954737
168,5634,-161.13895120328408,18.86104879671592,18.894553165516037
169,5667,-161.13895120328408,18.86104879671592,18.899458522150255
170,5700,-161.13895120328408,18.86104879671592,18.88484832045512
171,5734,-161.13895120328408,18.86104879671592,18.81944160272603
172,5767,-161.15563054942143,18.84436945057857,18.84423861298084
173,5800,-161.13895120328408,18.86104879671592,18.905383444718776
174,5834,-161.15563054942143,18.84436945057857,18.9333075280404
175,5867,-161.15563054942143,18.84436945057857,18.90644773638637
176,5900,-160.62708241505575,19.372917584944247,18.954517668868125
177,5934,-161.15563054942143,18.84436945057857,18.980973638789848
178,5967,-161.15563054942143,18.84436945057857,19.038131358158687
179,6000,-161.15563054942143,18.84436945057857,19.043113465985144
180,6034,-160.64265857128362,19.35734142871638,19.017507289710284
181,6067,-161.02959219151347,18.970407808486527,18.962323698796975
182,6100,-160.88757296835,19.112427031649986,18.989290168224016
183,6134,-161.2639978014342,18.736002198565814,18.95386841085351
184,6167,-161.13895120328408,18.86104879671592,18.900023320335315
185,6200,-161.13895120328408,18.86104879671592,18.806271423664768
186,6234,-161.13895120328408,18.86104879671592,18.849593863117995
187,6267,-161.13895120328408,18.86104879671592,18.863113147522782
188,6300,-161.13895120328408,18.86104879671592,18.91197368189978
189,6334,-161.13895120328408,18.86104879671592,18.88917503279251
190,6367,-160.88757296835,19.112427031649986,18.897378518314838
191,6400,-161.13895120328408,18.86104879671592,18.898371737997433
192,6434,-161.13895120328408,18.86104879671592,18.957337937495527
193,6467,-161.13895120328408,18.86104879671592,19.01316191238226
194,6500,-160.88757296835,19.112427031649986,19.059984030141692
195,6534,-160.88757296835,19.112427031649986,19.11303933531528
196,6567,-160.62708241505575,19.372917584944247,19.152540240878725
